Traffic,Detected %,No Detected %,Detected Samples,No Detected Samples
Normal,99.54649995141071,0.45350004858929094,30731,140
Analysis,36.97749196141479,63.02250803858521,230,392
Backdoor,32.212885154061624,67.78711484593838,115,242
Fuzzers,42.97067435051355,57.02932564948645,9246,12271
Shellcode,72.7994705493051,27.200529450694905,1100,411
Worms,71.26436781609195,28.735632183908045,124,50
